	      上限	HP	攻	防	速	PP	合計	出身
ヨミリュウ	75	333	162	154	98	90	747	深層
フレイミン	99	279	149	78	125	63	631	亀裂
スライム	99	366	83	74	41	43	564	坑道
ミズダマリ	70	281	144	74	39	63	538	深層
コウモリ	99	204	149	29	149	51	531	坑道
マグマガニ	65	275	112	106	29	43	522	亀裂
キノコン	70	272	108	63	46	53	489	坑道
ヒカリムシ	80	217	109	40	121	77	487	坑道
ヒビイワ	60	261	78	127	17	27	483	亀裂
イワゴロー	60	290	59	115	9	27	473	坑道
ビリムシ	70	148	101	37	144	53	430	深層
ハイバネ	70	129	93	25	148	49	395	亀裂
カゲヅタ	60	253	40	73	29	52	395	深層
ヨドミ	        60	177	78	43	60	29	358	深層
コケネズミ	60	157	73	29	78	27	337	坑道
スミビ	        50	110	61	23	53	25	247	亀裂
