基礎値
名前	      属性	HP	攻	防	速	PP	Lv上限	回避
坑道								
スライム	水	22	5	4	3	4	99 	         —
コウモリ	闇	16	8	2	8	4	99	　　10%
コケネズミ	地	17	7	3	8	4	60	　　—
イワゴロー	地	25	6	9	2	4	60	　　—
ヒカリムシ	光	18	8	3	8	6	80	　　10%
キノコン	闇	24	9	6	5	5	70	　　—
亀裂								
スミビ   	火	15	7	3	6	4	50	　　5%
フレイミン	火	19	8	5	8	5	99	　　5%
ハイバネ	風	14	7	3	10	5	70	　　10%
ヒビイワ	地	25	8	11	3	4	60	　　—
マグマガニ	火	27	10	10	4	5	65	　　—
深層								
ヨドミ	        闇	18	8	5	7	4	60	　　—
カゲヅタ	闇	23	5	7	4	6	60	　　━
ミズダマリ	水	21	12	7	6	6	70	　　—
ビリムシ	雷	16	8	4	12	5	70	　　5%
ヨミリュウ	闇	26	12	12	10	8	75	　　—
