成長率
　　　　　HP	攻	防	速	PP	合計※
坑道						
スライム	0.16	0.16 0.18	0.13 0.10	0.61
コウモリ	0.12	0.18	0.14	0.18	0.12	0.62
コケネズミ	0.14	0.16	0.15	0.15	0.10	0.59
イワゴロー	0.18	0.15	0.20	0.06	0.10	0.59
ヒカリムシ	0.14	0.16	0.16	0.18	0.15	0.59
キノコン	0.15	0.16	0.14	0.12	0.14	0.57
亀裂						
スミビ  	0.13	0.16	0.14	0.16	0.11	0.55
フレイミン	0.14	0.18	0.15	0.15	0.12	0.64
ハイバネ	0.12	0.18	0.11	0.20	0.13	0.61
ヒビイワ	0.16	0.15	0.18	0.08	0.10	0.58
マグマガニ	0.18	0.16	0.15	0.10	0.12	0.57
深層						
ヨドミ  	0.15	0.15	0.13	0.13	0.11	0.55
カゲヅタ	0.17	0.12	0.16	0.11	0.13	0.53
ミズダマリ	0.18	0.16	0.14	0.08	0.14	0.53
ビリムシ	0.12	0.17	0.12	0.16	0.14	0.56
ヨミリュウ	0.16	0.17	0.16	0.12	0.14	0.58
